Word,Meaning,Appearance_Count,Part_of_Speech
social,社交,42,形容詞
participants,参加者,19,名詞
learning,学ぶ,18,名詞
model,モデル,18,名詞
previous,前の,15,形容詞
information,情報,15,名詞
reward,褒美,14,名詞
soc,Soc,13,名詞
models,モデル,12,名詞
then,それから,10,副詞
value,価値,10,名詞
bandit,盗賊,9,名詞
search,検索,9,名詞
∗,∗,9,名詞
ε,ε,9,名詞
evolutionary,進化的,8,形容詞
individual,個人,8,形容詞
correlated,相関しています,7,動詞
groups,グループ,7,名詞
choices,選択肢,7,名詞
decision,決断,7,名詞
distance,距離,7,名詞
however,しかし,6,副詞
function,関数,6,名詞
different,違う,6,形容詞
other,他の,6,形容詞
gp,GP,6,名詞
higher,より高い,6,形容詞
simulations,シミュレーション,6,名詞
same,同じ,5,形容詞
socially,社会的に,5,副詞
possible,可能,5,形容詞
population,人口,5,名詞
ind,Ind,5,名詞
best,最高,5,形容詞
human,人間,5,形容詞
salt,塩,4,名詞
using,使用,4,動詞
integrate,統合する,4,動詞
process,プロセス,4,名詞
-,-,4,名詞
line,ライン,4,名詞
humans,人間,4,名詞
even,平,4,副詞
outcomes,結果,4,名詞
used,使用済み,4,動詞
generalization,一般化,4,名詞
data,データ,4,名詞
experiment,実験,4,名詞
found,見つかった,4,動詞
also,また,4,副詞
shows,ショー,4,動詞
much,多くの,4,形容詞
first,初め,4,副詞
task,タスク,4,名詞
exact,ちょうど,4,形容詞
spatially,空間的に,4,副詞
correlations,相関,4,名詞
spatial,空間,4,形容詞
expected,期待される,4,動詞
-,-,4,形容詞
choice,選択,4,名詞
b,b,4,名詞
predictions,予測,4,名詞
uncertainty,不確実性,4,名詞
observations,観察,4,名詞
tion,の,4,名詞
figure,形,4,名詞
parameter,パラメーター,4,名詞
finally,ついに,4,副詞
imitation,模倣,4,名詞
result,結果,4,名詞
science,科学,3,名詞
is,は,3,動詞
work,仕事,3,名詞
less,少ない,3,副詞
out,外,3,名詞
research,研究,3,名詞
rewards,報酬,3,名詞
thus,したがって,3,副詞
own,自分の,3,形容詞
behaviour,行動,3,名詞
more,もっと,3,形容詞
as,として,3,副詞
scientist,科学者,3,名詞
populations,人口,3,名詞
shown,表示されています,3,動詞
group,グループ,3,名詞
find,探す,3,動詞
room,部屋,3,名詞
had,持っていた,3,動詞
gaussian,ガウス,3,名詞
kernel,カーネル,3,名詞
based,ベース,3,動詞
mean,平均,3,形容詞
rbf,RBF,3,名詞
vs,vs,3,副詞
bonus,ボーナス,3,名詞
db,DB,3,動詞
%,％,3,名詞
